VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,2023-04-30 20:51:21,2023-04-30 21:07:42,1,4.51,1,N,163,151,1,21.2,1.0,0.5,5.24,0.0,1,31.44,2.5,0.0
1,2023-04-30 20:28:51,2023-04-30 21:04:09,1,18.5,1,N,132,133,1,68.1,2.75,0.5,14.45,0.0,1,86.8,0.0,1.75
1,2023-04-30 20:24:26,2023-04-30 20:42:51,2,10.8,1,N,132,191,2,41.5,2.75,0.5,0.0,0.0,1,45.75,0.0,1.75
2,2023-04-30 20:05:51,2023-04-30 20:12:33,1,0.87,1,N,162,100,1,7.9,1.0,0.5,2.58,0.0,1,15.48,2.5,0.0
2,2023-04-30 20:15:59,2023-04-30 20:39:14,1,17.23,2,N,132,170,1,70.0,0.0,0.5,8.0,6.55,1,88.55,2.5,0.0
1,2023-04-30 20:15:16,2023-04-30 20:34:10,1,4.1,1,N,164,145,1,21.2,3.5,0.5,0.0,0.0,1,26.2,2.5,0.0
1,2023-04-30 20:15:26,2023-04-30 20:39:46,1,8.6,1,N,138,225,1,35.2,7.75,0.5,8.9,0.0,1,53.35,0.0,1.75
1,2023-04-30 20:05:43,2023-04-30 20:39:36,1,15.7,1,N,132,146,1,60.4,2.75,0.5,10.0,0.0,1,74.65,0.0,1.75
2,2023-04-30 20:15:01,2023-04-30 20:30:33,1,3.63,1,N,48,148,1,18.4,1.0,0.5,4.68,0.0,1,28.08,2.5,0.0
2,2023-04-30 20:31:37,2023-04-30 20:49:51,1,3.38,1,N,148,186,1,19.8,1.0,0.5,4.96,0.0,1,29.76,2.5,0.0
2,2023-04-30 20:05:30,2023-04-30 20:11:00,1,1.47,1,N,230,229,2,8.6,1.0,0.5,0.0,0.0,1,13.6,2.5,0.0
2,2023-04-30 20:04:29,2023-04-30 20:28:06,1,6.75,1,N,142,232,1,31.7,1.0,0.5,7.34,0.0,1,44.04,2.5,0.0
2,2023-04-30 20:38:01,2023-04-30 20:48:22,1,4.4,1,N,138,196,2,19.8,6.0,0.5,0.0,0.0,1,29.05,0.0,1.75
2,2023-04-30 20:23:46,2023-04-30 20:45:16,1,15.43,1,N,132,16,2,57.6,1.0,0.5,0.0,0.0,1,60.1,0.0,0.0
2,2023-04-30 20:29:37,2023-04-30 20:38:32,1,1.76,1,N,146,179,2,11.4,1.0,0.5,0.0,0.0,1,13.9,0.0,0.0
2,2023-04-30 20:56:02,2023-04-30 21:21:11,1,10.29,1,N,138,142,1,42.2,6.0,0.5,15.66,0.0,1,69.61,2.5,1.75
2,2023-04-30 20:10:08,2023-04-30 20:29:10,3,9.45,1,N,138,100,1,38.0,6.0,0.5,16.89,6.55,1,73.19,2.5,1.75
2,2023-04-30 20:33:20,2023-04-30 20:39:10,3,0.97,1,N,100,68,2,7.9,1.0,0.5,0.0,0.0,1,12.9,2.5,0.0
1,2023-04-30 20:11:59,2023-04-30 20:18:46,1,1.4,1,N,162,163,1,8.6,3.5,0.5,1.4,0.0,1,15.0,2.5,0.0
1,2023-04-30 20:58:48,2023-04-30 21:16:01,1,8.6,1,N,138,236,1,33.8,10.25,0.5,10.42,6.55,1,62.52,2.5,1.75
2,2023-04-30 20:18:22,2023-04-30 20:41:31,1,18.51,1,N,132,65,1,68.1,1.0,0.5,14.12,0.0,1,86.47,0.0,1.75
2,2023-04-30 20:10:59,2023-04-30 20:34:59,2,17.05,2,N,132,170,1,70.0,0.0,0.5,16.11,6.55,1,98.41,2.5,1.75
2,2023-04-30 20:41:36,2023-04-30 20:56:31,1,9.09,1,N,138,232,1,35.9,6.0,0.5,0.0,0.0,1,47.65,2.5,1.75
2,2023-04-30 20:12:20,2023-04-30 20:20:45,1,2.58,1,N,114,161,1,12.8,1.0,0.5,0.15,0.0,1,17.95,2.5,0.0
2,2023-04-30 20:45:30,2023-04-30 21:22:21,2,19.14,2,N,132,236,1,70.0,0.0,0.5,14.8,0.0,1,88.8,2.5,0.0
2,2023-04-30 20:30:53,2023-04-30 20:48:48,1,9.53,1,N,138,244,1,38.0,6.0,0.5,10.76,6.55,1,64.56,0.0,1.75
2,2023-04-30 20:21:35,2023-04-30 20:26:09,1,1.49,1,N,79,233,1,8.6,1.0,0.5,3.4,0.0,1,17.0,2.5,0.0
2,2023-04-30 20:17:43,2023-04-30 20:39:15,2,12.31,1,N,132,160,1,47.1,1.0,0.5,8.0,0.0,1,59.35,0.0,1.75
2,2023-04-30 20:04:01,2023-04-30 20:32:43,1,17.26,2,N,132,233,1,70.0,0.0,0.5,16.46,6.55,1,98.76,2.5,1.75
2,2023-04-30 20:02:30,2023-04-30 20:15:00,1,2.26,1,N,138,173,2,14.2,6.0,0.5,0.0,0.0,1,23.45,0.0,1.75
2,2023-04-30 20:28:42,2023-04-30 20:47:31,1,8.78,1,N,138,238,1,35.9,6.0,0.5,10.49,6.55,1,64.69,2.5,1.75
2,2023-04-30 20:41:05,2023-04-30 21:15:24,6,19.72,2,N,132,24,2,70.0,0.0,0.5,0.0,6.55,1,79.8,0.0,1.75
2,2023-04-30 19:58:45,2023-04-30 20:11:09,1,1.88,1,N,90,170,2,14.2,1.0,0.5,0.0,0.0,1,19.2,2.5,0.0
2,2023-04-30 20:26:56,2023-04-30 20:30:01,1,0.71,1,N,161,163,2,5.8,1.0,0.5,0.0,0.0,1,10.8,2.5,0.0
2,2023-04-30 20:57:57,2023-04-30 21:17:11,2,8.8,1,N,170,243,1,35.9,1.0,0.5,0.0,0.0,1,40.9,2.5,0.0
2,2023-04-30 20:17:25,2023-04-30 20:49:34,1,20.44,2,N,132,238,1,70.0,0.0,0.5,16.11,6.55,1,98.41,2.5,1.75
2,2023-04-30 20:36:59,2023-04-30 20:41:46,1,0.59,1,N,231,125,1,6.5,1.0,0.5,2.3,0.0,1,13.8,2.5,0.0
2,2023-04-30 20:02:50,2023-04-30 20:38:14,2,21.81,2,N,132,261,1,70.0,0.0,0.5,5.0,0.0,1,80.75,2.5,1.75
2,2023-04-30 20:18:05,2023-04-30 20:29:21,1,4.94,1,N,132,216,1,21.2,1.0,0.5,5.09,0.0,1,30.54,0.0,1.75
2,2023-04-30 20:56:52,2023-04-30 21:22:45,1,18.56,1,N,132,65,1,68.8,1.0,0.5,10.96,0.0,1,84.01,0.0,1.75
2,2023-04-30 20:36:33,2023-04-30 20:55:26,1,9.16,1,N,138,186,2,37.3,6.0,0.5,0.0,6.55,1,55.6,2.5,1.75
2,2023-04-30 20:12:21,2023-04-30 20:17:47,1,0.63,1,N,233,161,1,6.5,1.0,0.5,2.3,0.0,1,13.8,2.5,0.0
