VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
1,"4/30/2023, 8:36:24 PM","4/30/2023, 8:53:06 PM",1,10.5,1,N,138,33,1,40.8,7.75,0.5,10,0,1,60.05,0,1.75
2,"4/30/2023, 8:31:18 PM","4/30/2023, 8:36:19 PM",4,0.81,1,N,113,90,2,7.2,1,0.5,0,0,1,12.2,2.5,0
2,"4/30/2023, 8:14:38 PM","4/30/2023, 8:25:15 PM",1,2.59,1,N,238,74,1,14.2,1,0.5,3.84,0,1,23.04,2.5,0
2,"4/30/2023, 8:43:56 PM","4/30/2023, 8:47:26 PM",1,1.07,1,N,229,141,1,6.5,1,0.5,2.3,0,1,13.8,2.5,0
2,"4/30/2023, 8:50:56 PM","4/30/2023, 9:02:17 PM",1,3.91,1,N,234,263,2,17.7,1,0.5,0,0,1,22.7,2.5,0
2,"4/30/2023, 8:05:30 PM","4/30/2023, 8:42:19 PM",1,18.3,1,N,132,26,1,72.3,1,0.5,0,0,1,76.55,0,1.75
2,"4/30/2023, 8:35:39 PM","4/30/2023, 8:43:26 PM",1,1.46,1,N,186,50,2,10,1,0.5,0,0,1,15,2.5,0
2,"4/30/2023, 8:59:56 PM","4/30/2023, 9:06:37 PM",1,1.18,1,N,48,246,1,9.3,1,0.5,2.86,0,1,17.16,2.5,0
2,"4/30/2023, 8:46:05 PM","4/30/2023, 9:02:52 PM",1,8.9,1,N,138,237,1,34.5,6,0.5,10.56,6.55,1,63.36,2.5,1.75
2,"4/30/2023, 8:47:07 PM","4/30/2023, 9:05:56 PM",1,5.05,1,N,48,7,2,24,1,0.5,0,0,1,29,2.5,0
2,"4/30/2023, 8:05:23 PM","4/30/2023, 8:31:46 PM",1,14,1,N,132,155,2,55.5,1,0.5,0,0,1,59.75,0,1.75
2,"4/30/2023, 8:44:18 PM","4/30/2023, 9:12:02 PM",1,7.86,1,N,163,36,1,35.2,1,0.5,8.04,0,1,48.24,2.5,0
2,"4/30/2023, 8:41:20 PM","4/30/2023, 9:23:56 PM",1,6.92,4,N,132,265,2,32.4,1,0.5,0,0,1,36.65,0,1.75
2,"4/30/2023, 8:56:15 PM","4/30/2023, 9:07:17 PM",1,1.88,1,N,137,232,1,12.8,1,0.5,0,0,1,17.8,2.5,0
2,"4/30/2023, 8:04:30 PM","4/30/2023, 8:13:29 PM",2,4.94,1,N,132,130,2,19.8,1,0.5,0,0,1,24.05,0,1.75
2,"4/30/2023, 8:13:53 PM","4/30/2023, 8:41:50 PM",1,15.96,2,N,130,239,1,70,0,0.5,15.88,6.55,1,96.43,2.5,0
2,"4/30/2023, 8:02:16 PM","4/30/2023, 8:13:18 PM",1,3.26,1,N,137,145,1,15.6,1,0.5,3.71,0,1,24.31,2.5,0
2,"4/30/2023, 8:23:37 PM","4/30/2023, 8:34:29 PM",1,2.5,1,N,229,239,1,13.5,1,0.5,3.7,0,1,22.2,2.5,0
2,"4/30/2023, 8:35:22 PM","4/30/2023, 8:39:10 PM",1,0.75,1,N,246,90,1,5.8,1,0.5,2.16,0,1,12.96,2.5,0
2,"4/30/2023, 8:43:02 PM","4/30/2023, 8:48:44 PM",4,0.92,1,N,90,246,1,7.2,1,0.5,2.44,0,1,14.64,2.5,0
2,"4/30/2023, 8:22:40 PM","4/30/2023, 8:43:33 PM",2,11.6,1,N,132,101,2,44.3,1,0.5,0,0,1,48.55,0,1.75
2,"4/30/2023, 8:15:47 PM","4/30/2023, 8:33:57 PM",1,5.69,1,N,163,116,1,24.7,1,0.5,2,0,1,31.7,2.5,0
1,"4/30/2023, 8:03:42 PM","4/30/2023, 8:15:16 PM",2,2.3,1,N,161,137,1,13.5,3.5,0.5,3.7,0,1,22.2,2.5,0
1,"4/30/2023, 8:32:39 PM","4/30/2023, 8:46:33 PM",5,4,1,N,162,260,2,18.4,3.5,0.5,0,0,1,23.4,2.5,0
2,"4/30/2023, 8:19:15 PM","4/30/2023, 8:41:20 PM",1,10.83,1,N,164,67,2,42.9,1,0.5,0,0,1,47.9,2.5,0
2,"4/30/2023, 8:11:51 PM","4/30/2023, 8:13:49 PM",1,0.49,1,N,262,236,1,4.4,1,0.5,2.82,0,1,12.22,2.5,0
2,"4/30/2023, 8:25:42 PM","4/30/2023, 8:29:14 PM",1,0.5,1,N,163,237,2,5.8,1,0.5,0,0,1,10.8,2.5,0
2,"4/30/2023, 8:35:08 PM","4/30/2023, 9:01:05 PM",1,9.13,1,N,163,95,2,39.4,1,0.5,0,0,1,44.4,2.5,0
1,"4/30/2023, 8:30:59 PM","4/30/2023, 8:51:38 PM",1,6.9,1,N,249,49,1,29.6,3.5,0.5,0,0,1,34.6,2.5,0
2,"4/30/2023, 8:58:24 PM","4/30/2023, 9:07:34 PM",1,3.9,1,N,132,219,2,17.7,1,0.5,0,0,1,21.95,0,1.75
1,"4/30/2023, 8:42:13 PM","4/30/2023, 8:47:05 PM",1,0.9,1,N,144,87,1,7.2,3.5,0.5,1,0,1,13.2,2.5,0
1,"4/30/2023, 8:58:39 PM","4/30/2023, 9:17:01 PM",1,3.8,1,N,231,106,1,21.2,3.5,0.5,5.2,0,1,31.4,2.5,0
2,"4/30/2023, 8:11:34 PM","4/30/2023, 8:20:23 PM",1,1.12,1,N,43,262,2,10,1,0.5,0,0,1,15,2.5,0
2,"4/30/2023, 8:19:15 PM","4/30/2023, 8:39:52 PM",1,16.19,1,N,132,256,1,60.4,1,0.5,12.58,0,1,77.23,0,1.75
2,"4/30/2023, 8:26:32 PM","4/30/2023, 9:02:34 PM",2,23.13,1,N,132,221,2,86.3,1,0.5,0,6.55,1,97.1,0,1.75
1,"4/30/2023, 8:03:06 PM","4/30/2023, 8:20:49 PM",0,7.7,1,N,138,37,1,32.4,7.75,0.5,8.3,0,1,49.95,0,1.75
1,"4/30/2023, 8:56:09 PM","4/30/2023, 9:15:58 PM",0,11.1,1,N,138,263,1,44.3,10.25,0.5,12.52,6.55,1,75.12,2.5,1.75
2,"4/30/2023, 8:33:49 PM","4/30/2023, 8:48:24 PM",1,6.91,1,N,70,41,1,28.9,6,0.5,8.94,6.55,1,53.64,0,1.75
2,"4/30/2023, 8:03:38 PM","4/30/2023, 8:19:23 PM",1,3.59,1,N,234,238,1,19.1,1,0.5,3,0,1,27.1,2.5,0
2,"4/30/2023, 8:27:21 PM","4/30/2023, 8:31:45 PM",1,0.92,1,N,142,163,1,6.5,1,0.5,2.3,0,1,13.8,2.5,0
1,"4/30/2023, 8:06:01 PM","4/30/2023, 8:09:37 PM",1,0.7,1,N,263,236,1,6.5,3.5,0.5,2,0,1,13.5,2.5,0
1,"4/30/2023, 8:13:26 PM","4/30/2023, 8:22:34 PM",1,2.1,1,N,263,41,1,12.1,3.5,0.5,3.4,0,1,20.5,2.5,0
2,"4/30/2023, 8:19:16 PM","4/30/2023, 8:51:35 PM",1,17.67,2,N,132,141,1,70,0,0.5,7.4,0,1,81.4,2.5,0
1,"4/30/2023, 8:18:08 PM","4/30/2023, 8:25:28 PM",1,1.4,1,N,164,224,1,8.6,3.5,0.5,2.7,0,1,16.3,2.5,0
1,"4/30/2023, 8:28:41 PM","4/30/2023, 8:44:16 PM",1,5.8,1,N,224,13,1,24.7,3.5,0.5,8.9,0,1,38.6,2.5,0
1,"4/30/2023, 8:54:19 PM","4/30/2023, 9:13:07 PM",0,6.6,1,N,132,205,2,27.5,2.75,0.5,0,0,1,31.75,0,1.75
2,"4/30/2023, 8:58:05 PM","4/30/2023, 9:13:38 PM",1,9.2,1,N,138,116,1,35.9,6,0.5,9.99,6.55,1,61.69,0,1.75
2,"4/30/2023, 8:18:43 PM","4/30/2023, 8:33:00 PM",1,3.18,1,N,239,42,2,17.7,1,0.5,0,0,1,22.7,2.5,0
1,"4/30/2023, 8:05:29 PM","4/30/2023, 8:25:30 PM",2,8.5,1,N,138,238,1,33.8,7.75,0.5,9.9,6.55,1,59.5,0,1.75
